",""text"""
"269,""pengalaman berbelanja berjualan mengagumkan  berikan akses nilai  jasa kurir kasus barang telat datang berimbas kepenilaian negatif seller semoga shopee seller berjaya aamiin tq"""
"270,""perdana ngorder langsung puas"""
"271,""pesanan tepat waktu barang bagus harga pengiriman terjangkau terimakasih shopee"""
"272,""produk original klo pesan d shopee paketnya cepat """
"273,""puas belanja shopee"""
"274,""puas pilihan shopee pay later """
"275,""ruarrr """
"276,""s d puas belanja shopee"""
"277,"" megecewakan """
"278,"" aman nyaman"""
"279,"" gampang mencari barang yang """
"280,"" membantu bagus"""
"281,"" memuaskan"""
"282,"" suka shopee punya akun aktif d pake tidak mikirn hadiah penting barangnya bagus pelayanannya oke semoga dapt shopepaylater """
"283,"" terbantu nya app """
"284,"" kasih bintang satu pihak shopee menanggapi keluhan """
"285,"" suka shopee"""
"286,"" transfer shopee rekening bri tgl jam pagi senilai rp rekening ya keterangannya menunggu pembayaran transfer nya berhasil bintang nya ntar kalo dana bethasil kirim """
"287,""sejauh ok tq shopee"""
"288,"" puas belanja shopee pinjaman uang tunai nya """
"289,""semenjak shopee alhamdulilah pengeluaran boross """
"290,""senang belanja shoppeeee"""
"291,"" menjadi member gold vocher tidak dipake hilang yaudah hapus akun aja """
"292,""shoope emang bagus"""
"293,""shopee belanja nyaman pasilitas shopeepay shopeepay leter jg cuman jd tidak nyaman aja sy rajin bayr shopeepay later tidak dapat pasilitas shopeepay later coba tinjau ulang stiap akun costmer"""
"294,""shopee i love you  adakan fr penghapusan berkas batalkan pembelian naik star udah aja """
"295,""shopee joss gandos"""
"296,""shopee jadi lambat loading mulu sinyal lancar youtube an lancar kalo buka shoppe lambat sinyal nya loading terus"""
"297,""shoppee oke """
"298,""sngat bagus"""
"299,""sopiee ok"""
"300,"" berkali pesan shopee semuax bagus memuaskan barang yang kulihat ternyata shopee pokokx complet de bagus """
"301,""suka banget belanja produk asli bohongan promonya """
"302,""suka banget deh pokoknya"""
"303,""suka suka aja"""
"304,""sukaaaaa"""
"305,""syuka belanja deh belanja shopee rumit lelahk aman lg tanks shopee"""
"306,""tempat belanja yang baik"""
"307,""terbaik"""
"308,""terima kasih shopee"""
"309,""terima kasih shopee shopee belanja berbagai produk jadi mudah pilihan bervariasi harga murmer semoga shopee baik promo promo terbaru """
"310,""terima kasih membantu """
"311,""terpercaya"""
"312,""terpercaya"""
"313,""bagus deh belanja """
"314,"" lumayan dapet barang yang sesuai"""
"315,"" mencari barang download aplikasi shopee aja aplikasinya gampang digunakan terpercaya"""
"316,""ajukan shoplater susah"""
"317,"" sllu blnja sshopee cmn penjual yang untung sj memberi kepuasan plnggan mnding jangan jualan shopee masak barang yang sdh tk lyak pkek jual jualan tu yang amanah gtu ad lh nemuin pnjual nakal shopee wlu gk smuany shopee  y bantuin bua """
"318,""aman cepat terpercaya """
"319,""amplikasi yang bermanfaat"""
"320,""aneh produk laris banget hapus otomatis pihak shopee nya melakukan pelanggaran apapun perbaiki yah memutuskan rezeki orang"""
"321,""apl dh bagus"""
"322,""aplikasi yang sangant membantu berbelanja barang sulit cari toko offline"""
"323,""bagus"""
"324,""bagus promo ongkir luar jawa jd hemat ongkir"""
"325,""baguss"""
"326,""baguss aplikasinya"""
"327,""bagussss seeeeekali"""
"328,""bagussss """
"329,""barang x ok x lho"""
"330,""belanja shopee ngga mengecewakan"""
"331,""belanja shopeee memuaskan murah """
"332,""belanja dishopee barang nya bagus pinter aja klo hrga murah ya sesuai barangnya"""
"333,""belanja jadi mudah"""
"334,""beli peralatan mancing shopee emang beastt cek youtube chanel gembul mancing"""
"335,""benar benar membantu belanja   dijual  alkhamdulillah kendala order dishopee jadi member gold untungnyaa gratis ongkir dapet telfon yang katanya pihak shopee dap """
"336,""cepat pelayanan baguuuuuuuuuuuuuussssssssss"""
"337,""cocok bgt"""
"338,""cukup bagus mendapatkan koin melakukan penilaian produk beli terimakasih"""
"339,""cukup membantu"""
"340,""tidak seruu gw liat s harganya pas datang tagih nya lbih dasar monyettt"""
"341,""gk penting """
"342,""bagus """
"343,""bagus service pengiriman tepat waktu cepat """
"344,""bagus"""
"345,""bagus"""
"346,""i love it"""
"347,"" olshop no percaya skrng"""
"348,"" memilih ongkos kirim mulai menjual dagangan solusinya """
"349,"" belanja menggunakan shopee express toko yang bernama log on id barang nga nyampe toko akal akalan """
"350,""katanya pulsa gratis k ternyata gk apl glbk"""
"351,"" shopeepaylater tidak muncul belanja """
"352,""kereennnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn"""
"353,""lol buriq"""
"354,""maantap"""
"355,""makasih bnyak sukak bgt membantu semogaaa berjaya terdepan dlm pelayanan"""
"356,""mantaaaapsss jiwaaaaa bosquueee"""
"357,""mantaaap"""
"358,""mantaaffff """
"359,""bagus bnyk promo kl lg gratis ongkir"""
"360,""bagus bosss senang belanja shopee respon bagus app bagus promo dn diskon semoga joss shoppee """
"361,""bagus produk nya ok ok"""
"362,""bagus """
"363,""bagus belanja shopee"""
"364,""bagus tingkatkan terus kualitasnya klo ukuran mbnya besar ya hp mb stelah instal makasih shopee belanja jadi mudah """
"365,""bagus bagus betul"""
"366,""bagus """
"367,"" belum mengecewakan sy"""
"368,""memudahkan berbelanja"""
"369,""mudah seru"""
"370,""ngga rumit cepat mudah enak nya belanja online pake shoope """
"371,""ngirim nya poin nya chasback dikit"""
"372,""nice bgt"""
"373,""nice semoga baik kedepanmya"""
"374,""online shop favorite a yang voucher free ongkir nya"""
