",""text"""
"5191,"" akun log out parah aplikasi shoppe uda member gold shopee pay dananya baru kali kecewa banget shopee"""
"5192,""kupon nya kurang """
"5193,""love shopee"""
"5194,"" kesini berat aplikasi shopee  admin  memperbaiki masalah nyaman cepat melakukan transaksi """
"5195,""mambantu mampermudah mambali barang """
"5196,""mantep si tpi pengguna jadi agal lambat berat """
"5197,""masak  main game langsung iklan shope keluar"""
"5198,""muantab"""
"5199,""nice app"""
"5200,""nice """
"5201,""nyenye"""
"5202,""ok ok ok"""
"5203,""okkk"""
"5204,""pembaruan terys"""
"5205,""penggunaan vocer undangan melakukan pembelian pertama dibatalkan vocer digunakan bnyk kasus pesanan dibatalkan sepihak pemberitahuan alasan seller """
"5206,""produk ok sesuai foto harga muantap waktu pengiriman cuepaaatt """
"5207,""puas"""
"5208,""puas belanja bintang sepuluh """
"5209,""puas suka berbelanja lewat shoopee"""
"5210,""puas klo belanja shoppe cepat bertanggung jwab mutu nya bagus"""
"5211,""rugi m"""
"5212,""salah download aplikasi lihat ulasan dl download lihat dl deh ulasannya pesan pertama udah ngecewain pesanan tidak dikirim batas waktu pengiriman emang penjual disana gmn sih udah milih toko yang ratingnya bagus la pelayanannya mengecewakan """
"5213,"" lambat gajls proses pengiriman"""
"5214,"" mempermudah keinginan """
"5215,"" memudahkan beli apapun bagus"""
"5216,"" memudahkan dlm pencarian barang semoga amanah yah shoppe"""
"5217,"" puas belanja shopee"""
"5218,"" baru update shopee login muncul beranda login tulisannya jaringan bermasalah jaringan lancar uninstal diinstal ulang  diperbaiki """
"5219,"" beli pulsa prosesnya pesan bayar pulsa  pulsany gk nyampe shopee pay terpotong kerja cs shopee tidak memuaskan """
"5220,"" benar kecwa karena barang yang beli rusak ajukan pengembalian dana sya kirim bukti nyaa kalo barang rusak tetap bukti cukup kuat udah jelas barang yang terima rusak hilang deh uang gara beli barang rusak"""
"5221,"" ngisi paketan udah hari masuk masuk paketannya"""
"5222,"" kasih bintang tidak gratis payah aplikasi bodoh kata nya gratis ongkir bohong"""
"5223,"" main game voucher voucher nya tidak diambil kesal"""
"5224,""ng shoppepaylater punya digunakan  pembelian produk digital pulsa token listrik  dipertimbangkan"""
"5225,""seeeepp"""
"5226,""sejauh suka kdang kadang suka eror aja shopenya"""
"5227,"" gini foto produk nya"""
"5228,""shopee boong cashback """
"5229,""shopee free ongkir yaa"""
"5230,""shopee kereenn"""
"5231,""shopee kesini baaadddddd gilaaa benerr lemootttt pelayanan buruk pemakaian udah dr udah member gold belanja udah jt dapat limit shopeepay later pandemi lancar jayaa tidak telat bayar pas pandemi telat hari doang udah koop ulasan lengkap"""
"5232,""shopee naiisuuuu"""
"5233,""shopee ongkir gila mahal bgt nyuri untungan jg dr ongkir belajar dr tetengga sblh ongkir nya sesuai"""
"5234,""shopee pay yang nyadap saldo rbu abis mhon bantuannya"""
"5235,""shopee payltter tau hilang pembayaran lancar maaf sy belanja semenjak pay latter hilang"""
"5236,""shopee parah total penjualan potong admin shopee rb potongan besar untung buntung semenjak shopee naik nih bagini """
"5237,""shopee tanam tiba tiba tidak pdhal udah panen """
"5238,""shopeee anjinng"""
"5239,""shoppe membantu"""
"5240,""sip dah shopee sih sarannya banyakin aja voucher gratis ongkir nya gratis ongkir barang voucher gratis ongkir dirangkap jadi voucher nya gratis min jadi kecewa bayar aplikasi shopee """
"5241,"" belanja d shopee nyaman bgt aman asal pinter cari penjual yang aamanah sajah """
"5242,""suka mudah"""
"5243,""sukaaaa bangeett kalo hp cara ganti username nya gimana yaa """
"5244,""sukses """
"5245,""susah banget sih masukin biaya ongkos kirim dipilih mengisi data lengkap"""
"5246,""tambah parah ni aplikasi masak gg update barang alasan atur ongkos kirim padahl diklik berkali gag seller merasa dirugikan jelas ad bug aplikasi cepat diperbarui"""
"5247,""terima kasih sngat senang n puas bgt pake shopee"""
"5248,"" kali milih barang langsung melihat ongkos kirim tertera ongkos kirim  daerah jakarta pusat punya akun login alamat pengiriman  diperbaharui """
"5249,""bagusppp"""
"5250,""tukang boong voucher gratis ongkir banget gaada dipake merumitkan pelanggan ngabisin waktu kurang efisien """
"5251,""udah prnah kecewa coba """
"5252,"" jual beli shopee mksh ya shopee no deh bagus hbs"""
"5253,"" apakan  kena tipu aplikasi  kena tipu uang rb karena telepon atas nama shopee barang bukti sekrinsut """
"5254,""aplikasi kebanyakan ngiklan buka game youtube berita dll dimana muncul terus iklannya mengganggu banget klw pake alesan gara pihak ketiga yang ngatur iklannya alesan basi """
"5255,""aplikasi taik kali downlod yang muncul shope kalo tidak lazada menggangu cuk"""
"5256,""aplikasinya sukak ngelag"""
"5257,""bagus"""
"5258,""bagus"""
"5259,""bagus lumayan  produk nya"""
"5260,""bagus uang  abis shoope soalnya bnyk racun jd beli trs makasih bye """
"5261,""bagus suka klo beli barang online tidak rumit kayak barangnya bagus bagus penjualnya ramah """
"5262,""bagus"""
"5263,""bagus cepat tanggap"""
"5264,""baik jelas profesional bagus"""
"5265,"" hadiah gratis ongkir"""
"5266,""barang bagus murah murah"""
"5267,""barang diusahakn harus didatangkan luar indonesia terima kasih"""
"5268,""barangnya sesuai"""
"5269,""bebas ongkir bagus bagus """
"5270,""belanja shopee aman murah terpecaya"""
"5271,""belanja menjadi mudah """
"5272,""belanja murah belanja gampang """
"5273,""belanja online mudah menyenangkan"""
"5274,""belanja puas belanja aman"""
"5275,""belanja yang menyenang shopee"""
"5276,""beli barang shope memuaskan"""
"5277,"" rusuh orang main game tidak g"""
"5278,""butut anjai"""
"5279,""dangang"""
"5280,""easy to use"""
"5281,""ga jls skrng mah"""
"5282,""ga ngerti lg orang yang memberi bintang gegara gratis ongkir cmn yang pke shopee pay coba deh isi shopee pay praktis kak """
"5283,""gabisa downloas su mentok """
"5284,""tidak download mendownload berulang ulang tetap tidak  bantuan  pihak developer"""
"5285,""gk dapet shopaylater"""
"5286,""bagus """
"5287,""bagusd job"""
"5288,""i like this """
"5289,""i love shopee"""
"5290,"" shopeee pay laternya tidak ya tahap verifikasi wajah suruh restart aplikasi  diperbaiki coba x gagal parah shoopie """
"5291,""kadang ngaruh iklan bnyak yang liat tp gk laku"""
"5292,"" hari ga main bubble shoppe yaa pdhl main update tetap gabisa main  segara perbaiki yaa kak"""
"5293,"" ya kalo buka uplikasinya gangn  perbaiki """
"5294,""ko gk sesuai iklan yaah ongkir nyekek yang beli namanya ongkir ajh nyampe rb """
"5295,""koleksi barangnya cukup lengkap harga sesuai """
"5296,"" dwonlodnya jadi  kasih """
"5297,""lambat loading lambat foto jarang keluar masik mending buka lewat browser"""
"5298,""maaf turunkan bintang hari aplikasi nya suka close sendri baru dibuka sbntar lgsg close tiba jaringan ok diupdate clear chache hapus data login ulang tetap sebentar close dgn sndrinya """
"5299,""mantaaaaaapppppssssss"""
"5300,""bagus """
"5301,""bagusp"""
"5302,""baguspp """
"5303,""memuaskan hemat"""
"5304,""memudahkan pembeli mencari kebutuhan gratis ongkir tinggal cari shopee"""
"5305,""menyenangkan"""
"5306,""min udh dm mimin kendala pagi jawab """
"5307,""mudah pemakaiannya terpercaya transaksinya"""
"5308,""ok shopee"""
"5309,""ok shopee bagus """
"5310,""ongkir mahal"""
"5311,"" promo bebas ongkir """
"5312,""parah siih skrng shopee dana yang shopeepay transfer rek prosesnya bgt minggu kasusnya belum terselesaikan"""
"5313,""payah paylater digunakan"""
"5314,""pengiriman cepat"""
"5315,"" lo shopee iklan gede gedean tp pesan barang notifikasi tp barang ga keterima kapok pake shopee unistal"""
"5316,""perlu tingkatkan penangan contact centernya terutama pembelian bermasalah"""
"5317,""pihak shopee mulai gila limit shopepaylater  orang yang baru aktransferin shopeeaylater lngsng dapat limit jt pdhal msh dlem pndemi covid giliran mnta limit balik alasan a msh dlem pandemi covid pdhal pembyrn lancar lunas"""
"5318,""respon cepat peking rapi harga bagus shopee oke oke sib"""
"5319,"" hari belum mengecewakan  mudah an kedepannya """
"5320,""sampek belanja shopee belum kecewa barang nya bagus n seller smua belum mengecewakan ikut shopee tanam nya panen n dapet buavita orange ml twin pack pastinya senang donk sekian bs panen jg tp ternyata yang dateng bkn ml twin pac """
"5321,"" buruk iming imingan"""
"5322,"" kecewa ajak sepupu teman  belanjaonline shopee baru pertama pesan hp bermasalah tidak bertanggung jawab penjual memberi selembar kertas  memberi nilai tokonya untung sepupu belum memberi penilaian krn msh menunggu jawaban penjual shopee ulasan lengkap"""
"5323,"" menarik"""
"5324,"" suka belanja dishoppe"""
"5325,"" baru kali kecewakan shopee jadi membeli speaker lapbagus pengeriman nya buruk toko nya bilang libur bulan  shopee biarkan pedagang """
"5326,"" kasih bintang tiga mb nya terus bertambah jadi hp muat"""
"5327,"" kurang suka karena limite shopeepaylater hilang ga muncul """
"5328,"" kecew  akun tidak """
"5329,"" suka belanja shopee harga nya terjangkau sesuai barang nya pokoknya belanja shopee tidak rugi dech """
"5330,"" pesan barang barang dateng ya aneh """
"5331,""sebenernya suka sih klaim hadiah nya tidak melaksanakan tugas terus ngerekomendasikan shopee dapet hadiah gk"""
"5332,"" barang cm tlg difilter lg  seller nya krn sy aja ketipu tp untung pihak shopee responsif membantu  proses refund sukses trs shopee """
"5333,"" aplikasi ya jdi lambat kenapaa yah ram hp bnyak udh update uninstall dlu trus download baru masa g terus"""
"5334,"" nge lag kalo nyirem tanaman """
"5335,""semenjak diperbarui jdi lma klau loading bka blnja"""
"5336,"" bgt eror aplikasi lancar aja kalo aplikasi muter muter pdhl sinyalnya udah bagus bgt kalo main game shopee tanamnya kalo soal pengiriman cepat ditingkatkan ya kak semoga dihilangkan erornya """
"5337,""shopee buble tampilan nya norak g ya respon ball nya lambat waktu yang dikasih """
"5338,""shopee nya error"""
"5339,""shopee ok respon baik mantaaap"""
"5340,""shopee oke"""
"5341,""shopee membantu sy trims """
"5342,""shopee update tidak """
"5343,""shopee menangani cepat menindaklanjuti penjual yang seenaknya pembeli membatalkan pesanan tanggapan shopee penjual membatalkan pemesanan tindak lanjut shopee minta maaf cs terus tokonya ga dikasih sanksi """
"5344,""shopee kayak kontol"""
"5345,""shoppe kesini aneh masa jaringan lancar ngelag aja dah dibersihin cache aja ngelag buka lancar buka lag nya parah"""
"5346,"" bertahun tahun pake shoppe puas sampau tahu akun shoppe terhubung dgn facebook sdh buka pdhl akun bertahun tahun pake masuk tertulis akun password sah nya aman aman """
"5347,""suka ajh"""
"5348,""suka pakai shoope discount kadang lambat aja aplikasinya dimainin tp bagus aplikasi belanja lengkap menurut """
"5349,""sumpah tidak jelas bulan juni shopeepay later ga dipake alesannya ngga tau pihak shopee memberitahu alasan detail gabisa akses shopeepaylater limit sejutaan ga nutidak jatuh tempo skalipun then turunin limit p ulasan lengkap"""
"5350,""sumpah ya koin  udah tibatiba besokannya berkurang jadi hilang kemane woooooyyyyyy kocak bgt dah """
"5351,""susah pakainya"""
"5352,""sy senang menggunakan shopee mudah d terjangkau"""
"5353,""teliti membeli memesan"""
"5354,""terbaik aja g udah ah gada kata terbagus bumi """
"5355,""tiga yah"""
"5356,""  toko aktif dihapus adakan filter ringan suka lag crash"""
"5357,""tp lambatnya g ketulungan"""
"5358,""very bagus"""
"5359,""yang sy ska dr shopee da gratis ongkir tuk ojol keunggulan yang tidak d miliki olshop klo bsa sllu adain gratis ongkir tuk ojol yh shopee tp jangan lpa gratis ongkir yang y jg """
"5360,""akhir akhir lag"""
"5361,"" suka """
"5362,""alhamdulillah makasih shopee  aplikasinya perbaiki karena cukup memakai ram hp"""
"5363,""aman memuaskan"""
"5364,""aplikasi belanja favorit """
"5365,""aplikasi belanja online favoritku"""
"5366,""aplikasi memaksa  download muncul membuka jendela googling menghapusnya membutuhkannya """
"5367,""aplikasi nya susah dibuka bikin hp jdi lambat"""
"5368,""aplikasi bagus belanja terima kasih"""
"5369,""bagus"""
"5370,""bagus aplikasinya """
"5371,"" bagus dirumah ajah ongkir ntt kadang mahal banget kadang ntidak pake gratis ogkirnya """
"5372,""bagus harga terjangkau beda sm lapak lainya"""
"5373,""bagus belanja menyenangkan dgn shopee"""
"5374,""bagus shopee kenap ga diskin """
"5375,""bagus pengiriman nya tepat waktu"""
"5376,""baguss suka banget """
"5377,"" bug lag loading bikin memori abis ajah"""
"5378,""barangnya bagus sesuai foto"""
"5379,""baru nyoba klo bagus harga murah d lanjut"""
"5380,""baru pake lum tau real nya semoga memuaskan oke yang temen ceritain"""
"5381,""belanja shoope promo gratis ongkir puas """
"5382,""belanja hemat harga pas gratis ongkir """
"5383,""belanja jd lbh mudah produk nya original shopee yang terbaik """
"5384,"" tersedia pengiriman tiki"""
"5385,""bismillah baru aja mencoba """
"5386,"" tahan bagus joss """
"5387,""coba deh"""
"5388,""d ad problem solusi nya membantu pernah ad barang d kirim ga sesuai penjual rewel tp alhamdulillah solusi dr shopee membantu jd ga takut kalo ketipu"""
"5389,"" update gabisa belanja trs jadi super lambat """
"5390,""easy"""
"5391,""firda"""
"5392,""fr cod tidak """
"5393,""ga download penyimpanan udah berjam jam ngulang"""
"5394,""bagus job"""
"5395,""gubluk gw baca komik iklan mulu gk guna"""
"5396,""halo sy nanya barusan ditelepon katax dr shopepay sy pemenang dr pemenang truz sy dapat voucher belanja jt sy disuruh atm  mencairkan dana krn saldo sy minim tidak truz sy disuruh lg brilink  mencairkan sy kesana karena takut in petipuan tp """
"5397,"" pengiriman lambat"""
"5398,""hu dasar shophi aplikasi kayak gini aka bangga bangga in aja pesan mainan dll minta ganti barang nya aja tidak katanya kalok keliru ganti ya udah deh meaning ganti aplikasi lazada murah barang nya kalok keliru ganti kerugian gratis ongkir n ulasan lengkap"""
"5399,""jaringan kuat tidak masuk kembali terus gimana sih """
"5400,""kak apl nya nge lag ya kembali ama emg sananya proses masalah kuota sih apl nya kalo dibuka kembali gimana nih keburu pengen belanja avv"""
"5401,""kak tidak ngedownload aplikasi shoppenha ya """
"5402,"" udah plih pembayaran cod trus kurirnya gk anterin rumah sih suruh ngambil gimana sih """
"5403,""kecewa banget klo sebar link shopee yang katanya koin orang yang join eee kali orang daftar lewat link kitanya gk koin sebaiknya hapus ja sebar link orang bergabungnya lewat link klo gunakan link mbok ya lngsung dapat koin ja orang yang """
"5404,""kecewa pas buka keluar """
"5405,"" dibatal pihak shope sya udah bayar loh barangnya dibatalin laporin loh ayah tentara loh keluarga tni """
"5406,""koin tidak dipakai tibatiba habis tidak jelas udh lumayan koinnya zzzz """
"5407,"" susah bgt ngedonlot aplikasi """
"5408,""love you i like this"""
"5409,""lumayan bagus"""
"5410,""maaf kasih ngk ngerti belanja shope ngk pelosok desa baik dowlot lazada enak belanja s"""
"5411,"" kesini aplikasinya terasa berat"""
"5412,"" nyebelin"""
"5413,""mantaabbbzzz semoga shopee sukses menjadi penjualan online nomor indonesia aaammmiiinnn yra"""
"5414,""bagus """
"5415,""bagus pokok nya"""
"5416,"" mengecewakan user paylater tidak telat membayar baru mendapatkan saldo limit tambahan tiba kurangi kembali pihak shopee melakukan kesalahan  infokan memberi kesenangan user  baca admin """
"5417,""bagus"""
"5418,""n u g y l"""
"5419,""ok memuaskan bgtttttttttt"""
"5420,""pelayanan bagus dlm belanja online"""
"5421,""punya saldo shopepay ga gunakan lupa pin minta penjelasan cs tpi kurang akurat ganti nomor hp ga nomor hp ga gunakan lgi"""
"5422,""recomendasi jual beli online terpercaya"""
"5423,""sampah masa tidak narik saldo shoope """
"5424,"" bagus"""
"5425,"" bagus pesanan rapih kualitas produk baik harga murah"""
"5426,"" membantu usaha ku"""
"5427,"" mempermudah tuk berbelanja"""
"5428,"" mudah belanja dsne """
"5429,"" puas dgn pelayanan  berbelanja """
"5430,"" dari belanja shopee  pelayanan customer servis terkait kendala alami buruk respon pelayanannya pendaftaran shopee pay later terkendala solusi pas cs cenderung melemparlempar masalah kesana s memberikan solusi yang ulasan lengkap"""
"5431,"" bohongi aplikasi uang habis dibuat nya"""
"5432,"" suka"""
"5433,""sedih ni masa koin udh ngumpulin ampe k tiba jdi k ni salah servernya gmana si"""
"5434,"" tambah lambat shopee order hari baru kirim kentang anjay """
"5435,""selamat malam pak beli pulsa masuk saldo shopeee terpotong """
"5436,"" gratis ongkir min biar seru wkwk"""
"5437,"" nonton lk iklan ya arah kesini """
"5438,""shope oke banget"""
"5439,""shopee gabisa login gimana sih gajelas"""
"5440,""shopee gooooood bagus bgt"""
"5441,""shopee bagus sih shopee play laternya tidak terterah didalam isi shopee """
"5442,""shopee susah masukan alamat yang kirim mencari peta susah banget """
"5443,""shopeepay pembodohan publik transaksi besar cashback rb ternyata nihil dipakai nyesal dis tertera token pln jt rp jt ternyata potong biaya admin dasar shopee pembodohan publik"""
"5444,""sistem transaksinya bagus garansi ui nya bagus """
"5445,"" update tetap ga pesanan pakai shoopepay bagus up mobile banking niat hati ngejar promo ga """
"5446,""suka """
"5447,""sy suka belanja dshopee cm ng gratis ongkirny  bnyk  pembayaran shopee pay aja ga awal dl """
"5448,""syukaaaaaaaaaak belanja babyak potongannya harganya terjangkaaaaaaui h"""
"5449,"" ubah deh udah lumayan kmrn krn pandemi"""
"5450,""terpercaya termudah """
"5451,"" peringatan diberikan penjual jujur """
"5452,"" shopee paylater nya dibenerin shopee paylater jadi rupiah limitnya pembayaran lancar masalahnya pihak shopee percaya user nya """
"5453,"" tambahkan voucher gratis ongkir  pembayaran via kartu kredit ga orang melakukan pembayaran via shopeepay shopee paylater cod """
"5454,""bagus shopee """
"5455,"" deh soalnya kalo bagus up shopeepay aja langsung masuk kalo ditarik menunggu hari kerja x jam g lak enak sih hari kerja menunggu sampe gaada uang """
"5456,""abis perbarui lemoooot foto ga muncul udah hapus cache koneksi bagus gimana belanja kalo ga liat fotonya"""
"5457,"" suka pakai shopee pelayanan cs nya baik"""
"5458,"" sukak sukakkk"""
"5459,""aplikasi anah masak masuk pakek akun fb gk bsa trus pkek akun google g emng aneh"""
"5460,""aplikasi anjing lag babi jaringan  bagus babi"""
"5461,""aplikasi jual beli bagus"""
"5462,""aplikasi membantu aman"""
"5463,""aplikasi yang membantu penjual pembeli cepat"""
"5464,""aplikasi yang membantu yang malas belanja diluar tengah pandemi corona kaum rebahan buruan download aplikasi belanja sesuka hati kalain keluar rumah pastinya aplikasi shopee rumit simple thanks shopee"""
"5465,""aplikasinya berat banget setimpal harganya menunggu jam pakai data terus baru """
"5466,""app tai gangguin  aja lu shopee stiap gw main game nongol lg nongol nafsu pengen download app kaga guna udah blokir aja akun  lh pusing  """
"5467,""app telat respons"""
"5468,""asli parah toko shopee masa pesan pcs masker kain kirim cuman pcs teman nitip tuh masker kain  barang cuman pcs gmn kasih teman masalah hari x order gin toko total pcs dikirim cuman pcs uang """
"5469,""assalamu alaikum suka pas beli barang sesuai """
"5470,""assalamuallaikum dapet telvon katanya dapet hadiah jt vocher belanja jt benar dapet kode sms shoppe  kalo petipuan cara  menghapus akun shoppenya trimakasih """
"5471,""bagus"""
"5472,""bagus"""
"5473,""bagus banget deh tp ng kadang aga lola akses """
"5474,""bagus banget gratis ongkir nya"""
"5475,""bagus ng bagusan masa gratis ongkir musti beli voucher nya"""
"5476,""bagus pelayanannya joss"""
"5477,""bagus"""
"5478,""baguuusss """
"5479,""barangnya bagus n cepat pengirimannya pokoknya suka ketepatan nya tq shopee"""
"5480,"" kali belanja shopee sesuai harapan terimakasih shopee"""
"5481,""belanja apapun puaass kwalitas bagus harga kurah bagus bagus unk aplikasi shopee belanja nya mudah mengerti loohhh recomended bgt deh pokoknya bagusjob shopee"""
"5482,""belanja d shopee amaaan """
"5483,""belanja online yang tidak rumit tempat nya"""
"5484,""belanja produk rumah aja terbantu aplikasi shopee puas shoppe bagus """
"5485,""belanja puas harga pas"""
"5486,""bagus sesuai gmbr cepat pengirimannya """
"5487,"" nya cod pakai jasa j t sma tidak pakai jasa kurir kecewa udah setahun pakai shopee baru nyoba cod ditoko langganan toko yang tidakbisa tertulis alamat didukung cod pdahal udah cod udah seminggu nyoba terus tidak b """
"5488,""bikin kecanduan shopping"""
"5489,""bjb"""
"5490,""cara mudah belanja dengam ongkir murah"""
"5491,""cek toko shopee co id dakon tasik"""
"5492,""dr ulasan yang kecewa termasuk jd gini pesan barang toko shopee berhubung alamat rumah jual orang jd lupa setel alamat pengiriman bayar langsung cek status eh alamat rumah salah langsung donk hubungi sellernya ulasan lengkap"""
"5493,""dua bintangnya ya baru permula memakai aplikasi """
"5494,""enak"""
"5495,""ga shopeee tempat shopping terindah"""
"5496,""gg"""
"5497,""bagus pelayanan tp  kontrol merchen lbh teliti"""
"5498,""gratisss ongkirhh diperbanyakk yahh """
"5499,""gtau gabut """
"5500,"" beli paket kuota bayar pake pulsa """
"5501,"" aplikasi pembohong banget sih katanya uangnya kelebihan dikembalikan secara otomatis lha sya kelebihan bayar tidak kembalikan udah chat tokoknya berulang kali suruh chat shopee chat shopee disuruh chat tokonya maunya sih uangnya ulasan lengkap"""
"5502,""jakarta bekasi hari paket titak luar jawa sampa sebulan kali jelek banget jadi kesal gw iklan doang gedein tai eror terusss """
"5503,""jelek"""
"5504,""kak saldo nya kosong beli barang"""
"5505,"" event shopee ajak teman gk ditarik """
"5506,"" ya shopee merchan barang yang gabisa disearch kaya barang shopee akun tp pas search akun ga merchan matiin fr search barang """
"5507,""bagus"""
"5508,""lambat banget shopee nya daftar menunggu menit baru connect pakai wifi  perbaiki"""
"5509,""lambat suka ngebug hp pas buka marketplace b aja"""
"5510,""lumayan"""
"5511,""mantaaaaap"""
"5512,""bagus """
"5513,""mantep"""
"5514,""memuaskan"""
"5515,"" syaa memberikan bintang shopee karena mempunyai fr pelayanan aplikasi yang oke mempunyai pilihan sperti barang yang cod star seller dllnya pelanggannya mempunyai voucher belanja pelanggan dapat mengumpulkan koin mudah an sem """
"5516,""min twitter jadi bisanya berkelu kesah  disetujui pengembalian dana siang pengembalian dana pengembalian dana beli produk cepat """
"5517,""murah meriah"""
"5518,""parah mesan metode pemabayaran transfer terus batalin karena yang salah alamatnya ko pas mesan metode saldo rekening berkurang tulisannya dana kembalikan ttp aja ga yang masuk jadi uang yang rb en ulasan lengkap"""
"5519,""pengiriman cepat nyaman fasilitas cod diharaplikasian transakai didukung cod barng diterima kondisi baik"""
"5520,"" paylater dipakai beli pulsa"""
"5521,""pesanan sesuai promo bagus bgt"""
"5522,"" pesan barang shopee katanya hari nyampe tpi udah minggu gk dateng paketannya kecewa awalnya pake shopee trus karena kasus bintangnya kurangin udh bayar jga dana nya ngegantung kmna """
"5523,""pppp"""
"5524,""produk diterimadlm keadaan bagus"""
"5525,"" pulsa babis gara nelvon shoppe masa  nelvon nanyain transaksi gagal alfa ngobrol ama customer servise nya susah banget nombok  emang aplikasi sialan gk bakal  unduh  janji temen saudara orang yang  kenal gk bakal punya aplikas """
"5526,""respon pengiriman cepat """
"5527,""saldo shopee paylatter nya dikembalikan kata dikembalikan """
"5528,""sanagat baik"""
"5529,"" bagus menurut """
"5530,"" cocok  belaja kebutuhan """
"5531,"" membantu"""
"5532,"" terpercaya"""
"5533,""saran aja nih shopee putus hubungan kerja aja deh j t tidak profesional banget konfirmasi pengiriman hari jam jam tidak dateng dateng wa tidak dibales sumpah tidak ngertiin ya ya pengirimannya sore ya konfirmasinya sor """
"5534,"" tidak login facebook udah bener tidak masuk akun nya"""
"5535,"" kurangin dl bintangnya dr masuk shopee kelempar keluar mulu sampe uninstal install lg ttp ja lg lg gimana nih sbelumnya ga loh """
"5536,"" game timbul aplikasi payah"""
"5537,"" menambah rejekiku"""
"5538,""semoga sukses  shopee"""
"5539,"" shopay letter sy lunasi uang shopay pakai sdh chat berkali kali ttp akun ga bs aktif belanja mw pakai uang sy shopay """
"5540,""shope pademi seterilan barang terjaga klo belanja shope aman takut pesanan pesan membawa virus corona  jawab shope """
"5541,""shope kalo jualan kebanyakan potonganya hadeh semoga berbenah """
"5542,""shopee kenapa ya  udah login trus keluar sosmed trus pas masuk login udah ganti user tokonya ga ganti user nya huhuuuu sedih bgtttt sampe nangis """
"5543,""shopee lambat bgt liar review loading nya bgt """
"5544,"" shopee skrng gratis ongkir nya minimal k gk kaya minimal rupiah shopee metode pembayarannya yang gratis ongkir pake shopee pay shope later semoga kedepan nya shope bikin gratis ongkir yang minimal rupiah donggg saran yaaa trmksh """
"5545,""shoppepay kampret ganti nomor aja susah banget udah gw menungguin hari berharap dirubah nomornya tau taunya pas email kata pihak shoppe proses karena nomor yang gunakan terdaftar kampret udah menunggu tau taunya php in barang yang ulasan lengkap"""
"5546,""suka banget pelayanannya kalo extra gartis ongkir"""
"5547,""suka bagus pokoknya """
"5548,""sukak"""
"5549,""superrrr"""
"5550,"" susah daftar shopee pay letter data bener syarat terpenuhi tips terpenuhi error aplikasimu ditolak  gimana nih solusinya """
"5551,""syuka"""
"5552,""ter the best"""
"5553,""terbaikkk dehhh"""
"5554,""terpercaya"""
"5555,""tingkatkan kuwalitas prosuk n keterjaminan aman nya n adakan promo besar n menarik"""
"5556,""ya allah perbaharui lambat buka ya allah banget"""
"5557,""abis update versi terbaru lambat banget iya """
"5558,"" shopee belanja mudah murah """
"5559,"" mendownload"""
"5560,"" memasukkan nomor telepon nomor sah"""
"5561,"" masalah hinggal limit paylater kurangi bayar waktu tagihan """
"5562,""aplikasi marketplace yang membantu baik smoga sukses terus berinovasi"""
"5563,""aplikasi payah login disuruh daftar terus udah punya akun daftar konyol """
"5564,""aplikasinya bagus penjualnya terpercaya"""
"5565,""aplikasinya jelek pake voucher nya tidak padahl dis tertulis misalnya voucher tidak pake"""
"5566,""bagus"""
"5567,""bagus"""
"5568,""bagus aplikasinya """
"5569,""bagus masa psbb"""
"5570,""bagus berat aja appnya gratis ongkir """
"5571,""bagus freeong bnyk games"""
"5572,""baik"""
"5573,""baranf sesuai deskripsi"""
"5574,""baru nyoba entar udah molai pesan prodak baru kasih """
"5575,"" belanja shopee mudah ga rumit event nya bagusnn """
"5576,""belanja termudah promo discount belanja """
"5577,"" ngutang ahaha"""
"5578,""bnyk bonus pengiriman cepat cacat"""
"5579,"" tema mode malam night mode biar kalo surfing malem tidak sakit mata """
"5580,""buruk buruk pesan barang september oktober gaada update resi status barang kemas order pre order parah buruk mengecewakan"""
"5581,"" pake shoppe andalan belanja tp suka aja toko yang kurang amanah kak pesan pcs kirim pcs giliran minta kirim balik kaos nya gamau """
"5582,""dijamin tidak rumit deh bonus"""
"5583,""dng menggunakan shopee merasa nyaman tidak kuatir uang hilang kualitas barang bagus barang pembeli """
"5584,"" suka banget berubah aplikasinya soalnya gratis ongkir dapak digunakan sunguh kecewa  banget ya kak  dibenarkan aplikasinya """
"5585,""game shopee banget ngebug error"""
"5586,""bagus ecommerce"""
"5587,""bagus job shopee"""
"5588,""googs shoope ni"""
"5589,""gratis ongkir pajangan doang aq pesan barang sistem cod diatas rb voucher free ongkir codnya tp tidak dipake cokkk kebanyakan syarat """
"5590,""hello mentemen yang belum belanja shopee ayo buka aplikasi shopee secepat nya berbelanja aplikasi krn sdh harga nya murah cepat pengiriman nya ksh free ongkir sukaaaaaaa shopee """
"5591,"" aplikasi shopee download susah banget ya"""
"5592,"" gimana yak udah login dah pesan barang eh tiba akunku hilang dah gatau gimana barangnya"""
"5593,"" kenapa akun  kelogout yaaa saldonya jadi """
"5594,""katanya hp rp tidak percaya kenapaya shopee dipercaya """
"5595,""kebiasaan saldo nya kembali"""
"5596,"" tidak donlod"""
"5597,"" niihh shopee loading bgt beda bgt tempat belanja online yang salahin sinyal yahh soalnya rumah pake wifi trus bersamaan kalo buka toko online yang cepat lancar  perbaiki kualitasnya"""
"5598,"" update shopee rincian status pengiriman kembalikan rincian status pengirimannya masa kl cek status pengiriman mesti chat cs dl buang waktu"""
"5599,"" voucher tidak dipakai keterangannya pilih produk memasukkan kode voucher """
